# host=openbmc kernel=6.18.39+rpt-rpi-2712 date=2026-09-16T19:35:20-06:00 cpu=3 runs=3 reps=3
# load: 1.65 1.74 1.95 1/509 972082
# cpufreq cpu3 before: governor=ondemand cur=2400000 min=1500000 max=2400000
host,config,bench,run,rep,scale,ns,wall_ns,sum,parity
# cpufreq cpu3 after-warmup: governor=ondemand cur=2400000 min=1500000 max=2400000
pi5,native-aarch64,crc32,1,0,64,197328371,613302437,323d083d79762f78,
pi5,native-aarch64,crc32,1,1,64,197194000,613302437,323d083d79762f78,
pi5,native-aarch64,crc32,1,2,64,197489446,613302437,323d083d79762f78,
pi5,native-aarch64,crc32,1,summary,64,592011817,613302437,323d083d79762f78,ok
pi5,native-aarch64,sha256,1,0,48,292858300,886658436,4238e6322fef7301,
pi5,native-aarch64,sha256,1,1,48,292809614,886658436,4238e6322fef7301,
pi5,native-aarch64,sha256,1,2,48,292734577,886658436,4238e6322fef7301,
pi5,native-aarch64,sha256,1,summary,48,878402491,886658436,4238e6322fef7301,ok
pi5,native-aarch64,bst,1,0,400000,442945946,1340784410,0ded589ff2a3247b,
pi5,native-aarch64,bst,1,1,400000,441274808,1340784410,0ded589ff2a3247b,
pi5,native-aarch64,bst,1,2,400000,443279482,1340784410,0ded589ff2a3247b,
pi5,native-aarch64,bst,1,summary,400000,1327500236,1340784410,0ded589ff2a3247b,ok
pi5,native-aarch64,vm,1,0,150000,428243670,1294242921,0000814e78cfc084,
pi5,native-aarch64,vm,1,1,150000,428044779,1294242921,0000814e78cfc084,
pi5,native-aarch64,vm,1,2,150000,428101241,1294242921,0000814e78cfc084,
pi5,native-aarch64,vm,1,summary,150000,1284389690,1294242921,0000814e78cfc084,ok
pi5,native-aarch64,sort,1,0,2500000,283196286,860560221,f05bf4351ec0e785,
pi5,native-aarch64,sort,1,1,2500000,281355369,860560221,f05bf4351ec0e785,
pi5,native-aarch64,sort,1,2,2500000,281495850,860560221,f05bf4351ec0e785,
pi5,native-aarch64,sort,1,summary,2500000,846047505,860560221,f05bf4351ec0e785,ok
pi5,native-aarch64,crc32,2,0,64,197476662,599760612,323d083d79762f78,
pi5,native-aarch64,crc32,2,1,64,197189494,599760612,323d083d79762f78,
pi5,native-aarch64,crc32,2,2,64,197532106,599760612,323d083d79762f78,
pi5,native-aarch64,crc32,2,summary,64,592198262,599760612,323d083d79762f78,ok
pi5,native-aarch64,sha256,2,0,48,292653437,885276735,4238e6322fef7301,
pi5,native-aarch64,sha256,2,1,48,292537085,885276735,4238e6322fef7301,
pi5,native-aarch64,sha256,2,2,48,292511474,885276735,4238e6322fef7301,
pi5,native-aarch64,sha256,2,summary,48,877701996,885276735,4238e6322fef7301,ok
pi5,native-aarch64,bst,2,0,400000,454287707,1342809913,0ded589ff2a3247b,
pi5,native-aarch64,bst,2,1,400000,431307802,1342809913,0ded589ff2a3247b,
pi5,native-aarch64,bst,2,2,400000,449513386,1342809913,0ded589ff2a3247b,
pi5,native-aarch64,bst,2,summary,400000,1335108895,1342809913,0ded589ff2a3247b,ok
pi5,native-aarch64,vm,2,0,150000,431291318,1297004985,0000814e78cfc084,
pi5,native-aarch64,vm,2,1,150000,428368711,1297004985,0000814e78cfc084,
pi5,native-aarch64,vm,2,2,150000,428306154,1297004985,0000814e78cfc084,
pi5,native-aarch64,vm,2,summary,150000,1287966183,1297004985,0000814e78cfc084,ok
pi5,native-aarch64,sort,2,0,2500000,285609010,863794783,f05bf4351ec0e785,
pi5,native-aarch64,sort,2,1,2500000,283525741,863794783,f05bf4351ec0e785,
pi5,native-aarch64,sort,2,2,2500000,282468679,863794783,f05bf4351ec0e785,
pi5,native-aarch64,sort,2,summary,2500000,851603430,863794783,f05bf4351ec0e785,ok
pi5,native-aarch64,crc32,3,0,64,198108122,600504115,323d083d79762f78,
pi5,native-aarch64,crc32,3,1,64,197817676,600504115,323d083d79762f78,
pi5,native-aarch64,crc32,3,2,64,197960547,600504115,323d083d79762f78,
pi5,native-aarch64,crc32,3,summary,64,593886345,600504115,323d083d79762f78,ok
pi5,native-aarch64,sha256,3,0,48,292757132,887489458,4238e6322fef7301,
pi5,native-aarch64,sha256,3,1,48,292688077,887489458,4238e6322fef7301,
pi5,native-aarch64,sha256,3,2,48,292689132,887489458,4238e6322fef7301,
pi5,native-aarch64,sha256,3,summary,48,878134341,887489458,4238e6322fef7301,ok
pi5,native-aarch64,bst,3,0,400000,528246830,1422823868,0ded589ff2a3247b,
pi5,native-aarch64,bst,3,1,400000,460908092,1422823868,0ded589ff2a3247b,
pi5,native-aarch64,bst,3,2,400000,427288102,1422823868,0ded589ff2a3247b,
pi5,native-aarch64,bst,3,summary,400000,1416443024,1422823868,0ded589ff2a3247b,ok
pi5,native-aarch64,vm,3,0,150000,428206939,1289835596,0000814e78cfc084,
pi5,native-aarch64,vm,3,1,150000,428147215,1289835596,0000814e78cfc084,
pi5,native-aarch64,vm,3,2,150000,428147343,1289835596,0000814e78cfc084,
pi5,native-aarch64,vm,3,summary,150000,1284501497,1289835596,0000814e78cfc084,ok
pi5,native-aarch64,sort,3,0,2500000,283860752,861264280,f05bf4351ec0e785,
pi5,native-aarch64,sort,3,1,2500000,281517591,861264280,f05bf4351ec0e785,
pi5,native-aarch64,sort,3,2,2500000,282601393,861264280,f05bf4351ec0e785,
pi5,native-aarch64,sort,3,summary,2500000,847979736,861264280,f05bf4351ec0e785,ok
# cpufreq cpu3 after: governor=ondemand cur=2400000 min=1500000 max=2400000
# load after: 1.82 1.77 1.96 1/508 972410
