# host=omarchy-power9 kernel=7.2.6-64k date=2026-09-16T19:35:40-06:00 cpu=88 node=0 runs=5 reps=3
# emulator=/home/jbettcher/Development/POWERarm-wt/bench/build-bench/Bin/POWERarm commit=41e9380c03cf42999429a49c9f95ff3e570e201d
# smt: on load: 2.48 7.40 8.35 2/2576 4001626
# cpufreq cpu88 before: governor=ondemand cur=2333000 max=3800000
host,config,bench,run,rep,scale,ns,wall_ns,sum,parity,node_busy_pct
power9,control-start,crc32,0,0,64,177834005,546295463,323d083d79762f78,,1
power9,control-start,crc32,0,1,64,177825094,546295463,323d083d79762f78,,1
power9,control-start,crc32,0,2,64,177807944,546295463,323d083d79762f78,,1
power9,control-start,crc32,0,summary,64,533467043,546295463,323d083d79762f78,ok,1
power9,native-power8,crc32,1,0,64,177845749,544474494,323d083d79762f78,,1
power9,native-power8,crc32,1,1,64,177860764,544474494,323d083d79762f78,,1
power9,native-power8,crc32,1,2,64,177827256,544474494,323d083d79762f78,,1
power9,native-power8,crc32,1,summary,64,533533769,544474494,323d083d79762f78,ok,1
power9,native-power9,crc32,1,0,64,177977712,545733973,323d083d79762f78,,1
power9,native-power9,crc32,1,1,64,177992958,545733973,323d083d79762f78,,1
power9,native-power9,crc32,1,2,64,177924063,545733973,323d083d79762f78,,1
power9,native-power9,crc32,1,summary,64,533894733,545733973,323d083d79762f78,ok,1
power9,powerarm,crc32,1,0,64,1448992838,4397910926,323d083d79762f78,,1
power9,powerarm,crc32,1,1,64,1448303726,4397910926,323d083d79762f78,,1
power9,powerarm,crc32,1,2,64,1447895987,4397910926,323d083d79762f78,,1
power9,powerarm,crc32,1,summary,64,4345192551,4397910926,323d083d79762f78,ok,1
power9,powerarm-startup,crc32,1,0,1,22715037,78133025,00000000c4994742,,1
power9,powerarm-startup,crc32,1,summary,1,22715037,78133025,00000000c4994742,ok,1
power9,native-power9-startup,crc32,1,0,1,2773920,12625147,00000000c4994742,,1
power9,native-power9-startup,crc32,1,summary,1,2773920,12625147,00000000c4994742,ok,1
power9,native-power8,sha256,1,0,48,359445430,1090018232,4238e6322fef7301,,1
power9,native-power8,sha256,1,1,48,359396974,1090018232,4238e6322fef7301,,1
power9,native-power8,sha256,1,2,48,358949143,1090018232,4238e6322fef7301,,1
power9,native-power8,sha256,1,summary,48,1077791547,1090018232,4238e6322fef7301,ok,1
power9,native-power9,sha256,1,0,48,362290694,1101647531,4238e6322fef7301,,2
power9,native-power9,sha256,1,1,48,362251686,1101647531,4238e6322fef7301,,2
power9,native-power9,sha256,1,2,48,362315970,1101647531,4238e6322fef7301,,2
power9,native-power9,sha256,1,summary,48,1086858350,1101647531,4238e6322fef7301,ok,2
power9,powerarm,sha256,1,0,48,1485364798,4506819081,4238e6322fef7301,,1
power9,powerarm,sha256,1,1,48,1483913050,4506819081,4238e6322fef7301,,1
power9,powerarm,sha256,1,2,48,1483398855,4506819081,4238e6322fef7301,,1
power9,powerarm,sha256,1,summary,48,4452676703,4506819081,4238e6322fef7301,ok,1
power9,powerarm-startup,sha256,1,0,1,31425956,83497492,7169e8403478a163,,1
power9,powerarm-startup,sha256,1,summary,1,31425956,83497492,7169e8403478a163,ok,1
power9,native-power9-startup,sha256,1,0,1,7541489,16759953,7169e8403478a163,,1
power9,native-power9-startup,sha256,1,summary,1,7541489,16759953,7169e8403478a163,ok,1
power9,native-power8,bst,1,0,400000,137379406,420349719,0ded589ff2a3247b,,1
power9,native-power8,bst,1,1,400000,136427369,420349719,0ded589ff2a3247b,,1
power9,native-power8,bst,1,2,400000,136771195,420349719,0ded589ff2a3247b,,1
