# host=omarchy-power9 cpu=120 iters=4000000 date=2026-09-16T21:06:29-06:00 load=2.96 5.04 5.91 freq=3800000
A_chain1,ns_per_iter,4.237,4.237
A_chain1,cycles:u,83502856,20.8757,100.00%
A_chain1,instructions:u,75562906,18.8907,100.00%
A_chain1,pm_cmplu_stall:u,8632992,2.1582,100.00%
A_chain1,pm_cmplu_stall_exec_unit:u,751847,0.1880,100.00%
A_chain1,pm_flush_mpred:u,136178,0.0340,100.00%
A_chain1,pm_cmplu_stall_st_fwd:u,1282,0.0003,100.00%
A_chain1,pm_cmplu_stall_lhs:u,26,0.0000,100.00%
A_chain1,pm_br_mpred_cmpl:u,134837,0.0337,100.00%
A_chain1,pm_br_pred_ccache:u,909,0.0002,100.00%
A_chain1,pm_br_mpred_ccache:u,190,0.0000,100.00%
A_chain1,pm_br_pred_lstack:u,1481,0.0004,100.00%
A_chain1,pm_br_mpred_lstack:u,236,0.0001,100.00%
A_chain1,pm_cmplu_stall_bru:u,877,0.0002,100.00%
A_chain1,pm_cmplu_stall_lsu:u,7684665,1.9212,100.00%
A_chain1,pm_st_fwd:u,221,0.0001,27.00%
A_chain1,pm_flush_lsu:u,31,0.0000,50.00%
A_chain1,pm_lsu_flush_lhl_shl:u,9,0.0000,75.00%
A_chain1,pm_cmplu_stall_fxu:u,608551,0.1521,72.00%
A_chain2x4,ns_per_iter,2.118,2.118
A_chain2x4,cycles:u,51362901,12.8407,100.00%
A_chain2x4,instructions:u,75562877,18.8907,100.00%
A_chain2x4,pm_cmplu_stall:u,8595470,2.1489,100.00%
A_chain2x4,pm_cmplu_stall_exec_unit:u,751076,0.1878,100.00%
A_chain2x4,pm_flush_mpred:u,135802,0.0340,100.00%
A_chain2x4,pm_cmplu_stall_st_fwd:u,1153,0.0003,100.00%
A_chain2x4,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
A_chain2x4,pm_br_mpred_cmpl:u,134473,0.0336,100.00%
A_chain2x4,pm_br_pred_ccache:u,909,0.0002,100.00%
A_chain2x4,pm_br_mpred_ccache:u,194,0.0000,100.00%
A_chain2x4,pm_br_pred_lstack:u,1463,0.0004,100.00%
A_chain2x4,pm_br_mpred_lstack:u,232,0.0001,100.00%
A_chain2x4,pm_cmplu_stall_bru:u,1064,0.0003,100.00%
A_chain2x4,pm_cmplu_stall_lsu:u,7723404,1.9309,100.00%
A_chain2x4,pm_st_fwd:u,26,0.0000,22.00%
A_chain2x4,pm_flush_lsu:u,116,0.0000,50.00%
A_chain2x4,pm_lsu_flush_lhl_shl:u,5,0.0000,76.00%
A_chain2x4,pm_cmplu_stall_fxu:u,582736,0.1457,77.00%
A_indep8,ns_per_iter,0.726,0.726
A_indep8,cycles:u,30226544,7.5566,100.00%
A_indep8,instructions:u,75562971,18.8907,100.00%
A_indep8,pm_cmplu_stall:u,8531049,2.1328,100.00%
A_indep8,pm_cmplu_stall_exec_unit:u,753327,0.1883,100.00%
A_indep8,pm_flush_mpred:u,136680,0.0342,100.00%
A_indep8,pm_cmplu_stall_st_fwd:u,1112,0.0003,100.00%
A_indep8,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
A_indep8,pm_br_mpred_cmpl:u,135185,0.0338,100.00%
