# host=omarchy-power9 cpu=136 iters=4000000 date=2026-09-16T21:11:36-06:00 load=13.89 7.80 6.69 freq=2300000
Q_loop_bne,ns_per_iter,0.592,0.592
Q_loop_bne,cycles:u,28122544,7.0306,100.00%
Q_loop_bne,instructions:u,47534282,11.8836,100.00%
Q_loop_bne,pm_cmplu_stall:u,8537962,2.1345,100.00%
Q_loop_bne,pm_cmplu_stall_exec_unit:u,752018,0.1880,100.00%
Q_loop_bne,pm_flush_mpred:u,136375,0.0341,100.00%
Q_loop_bne,pm_cmplu_stall_st_fwd:u,1179,0.0003,100.00%
Q_loop_bne,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
Q_loop_bne,pm_br_mpred_cmpl:u,135049,0.0338,100.00%
Q_loop_bne,pm_br_pred_ccache:u,908,0.0002,100.00%
Q_loop_bne,pm_br_mpred_ccache:u,179,0.0000,100.00%
Q_loop_bne,pm_br_pred_lstack:u,1484,0.0004,100.00%
Q_loop_bne,pm_br_mpred_lstack:u,223,0.0001,100.00%
Q_loop_bne,pm_cmplu_stall_bru:u,887,0.0002,100.00%
Q_loop_bne,pm_cmplu_stall_lsu:u,7622946,1.9057,100.00%
Q_loop_bne,pm_st_fwd:u,9,0.0000,30.00%
Q_loop_bne,pm_flush_lsu:u,71,0.0000,55.00%
Q_loop_bne,pm_lsu_flush_lhl_shl:u,3,0.0000,77.00%
Q_loop_bne,pm_cmplu_stall_fxu:u,628958,0.1572,69.00%
Q_loop_bdnz,ns_per_iter,0.529,0.529
Q_loop_bdnz,cycles:u,27253542,6.8134,100.00%
Q_loop_bdnz,instructions:u,39526070,9.8815,100.00%
Q_loop_bdnz,pm_cmplu_stall:u,8570902,2.1427,100.00%
Q_loop_bdnz,pm_cmplu_stall_exec_unit:u,752033,0.1880,100.00%
Q_loop_bdnz,pm_flush_mpred:u,136311,0.0341,100.00%
Q_loop_bdnz,pm_cmplu_stall_st_fwd:u,1217,0.0003,100.00%
Q_loop_bdnz,pm_cmplu_stall_lhs:u,20,0.0000,100.00%
Q_loop_bdnz,pm_br_mpred_cmpl:u,134614,0.0337,100.00%
Q_loop_bdnz,pm_br_pred_ccache:u,908,0.0002,100.00%
Q_loop_bdnz,pm_br_mpred_ccache:u,193,0.0000,100.00%
Q_loop_bdnz,pm_br_pred_lstack:u,1483,0.0004,100.00%
Q_loop_bdnz,pm_br_mpred_lstack:u,227,0.0001,100.00%
Q_loop_bdnz,pm_cmplu_stall_bru:u,810,0.0002,100.00%
Q_loop_bdnz,pm_cmplu_stall_lsu:u,7617476,1.9044,100.00%
Q_loop_bdnz,pm_st_fwd:u,688,0.0002,31.00%
Q_loop_bdnz,pm_flush_lsu:u,62,0.0000,54.00%
Q_loop_bdnz,pm_lsu_flush_lhl_shl:u,6,0.0000,77.00%
Q_loop_bdnz,pm_cmplu_stall_fxu:u,639117,0.1598,68.00%
Q_loop_cmpfar,ns_per_iter,0.742,0.742
Q_loop_cmpfar,cycles:u,30379206,7.5948,100.00%
Q_loop_cmpfar,instructions:u,75562974,18.8907,100.00%
Q_loop_cmpfar,pm_cmplu_stall:u,8532684,2.1332,100.00%
Q_loop_cmpfar,pm_cmplu_stall_exec_unit:u,751463,0.1879,100.00%
Q_loop_cmpfar,pm_flush_mpred:u,135397,0.0338,100.00%
Q_loop_cmpfar,pm_cmplu_stall_st_fwd:u,1205,0.0003,100.00%
Q_loop_cmpfar,pm_cmplu_stall_lhs:u,31,0.0000,100.00%
Q_loop_cmpfar,pm_br_mpred_cmpl:u,134748,0.0337,100.00%
Q_loop_cmpfar,pm_br_pred_ccache:u,908,0.0002,100.00%
Q_loop_cmpfar,pm_br_mpred_ccache:u,195,0.0000,100.00%
Q_loop_cmpfar,pm_br_pred_lstack:u,1480,0.0004,100.00%
Q_loop_cmpfar,pm_br_mpred_lstack:u,214,0.0001,100.00%
Q_loop_cmpfar,pm_cmplu_stall_bru:u,789,0.0002,100.00%
Q_loop_cmpfar,pm_cmplu_stall_lsu:u,7620653,1.9052,100.00%
Q_loop_cmpfar,pm_st_fwd:u,0,0.0000,28.00%
Q_loop_cmpfar,pm_flush_lsu:u,66,0.0000,58.00%
Q_loop_cmpfar,pm_lsu_flush_lhl_shl:u,8,0.0000,79.00%
Q_loop_cmpfar,pm_cmplu_stall_fxu:u,613330,0.1533,71.00%
Q_loop_bne_x4,ns_per_iter,2.119,2.119
Q_loop_bne_x4,cycles:u,51450845,12.8627,100.00%
Q_loop_bne_x4,instructions:u,71558854,17.8897,100.00%
Q_loop_bne_x4,pm_cmplu_stall:u,8622189,2.1555,100.00%
Q_loop_bne_x4,pm_cmplu_stall_exec_unit:u,752741,0.1882,100.00%
Q_loop_bne_x4,pm_flush_mpred:u,136372,0.0341,100.00%
Q_loop_bne_x4,pm_cmplu_stall_st_fwd:u,1223,0.0003,100.00%
Q_loop_bne_x4,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
Q_loop_bne_x4,pm_br_mpred_cmpl:u,134628,0.0337,100.00%
Q_loop_bne_x4,pm_br_pred_ccache:u,908,0.0002,100.00%
Q_loop_bne_x4,pm_br_mpred_ccache:u,193,0.0000,100.00%
Q_loop_bne_x4,pm_br_pred_lstack:u,1477,0.0004,100.00%
Q_loop_bne_x4,pm_br_mpred_lstack:u,246,0.0001,100.00%
Q_loop_bne_x4,pm_cmplu_stall_bru:u,825,0.0002,100.00%
Q_loop_bne_x4,pm_cmplu_stall_lsu:u,7680551,1.9201,100.00%
Q_loop_bne_x4,pm_st_fwd:u,20,0.0000,23.00%
Q_loop_bne_x4,pm_flush_lsu:u,53,0.0000,52.00%
Q_loop_bne_x4,pm_lsu_flush_lhl_shl:u,3,0.0000,78.00%
Q_loop_bne_x4,pm_cmplu_stall_fxu:u,578387,0.1446,76.00%
Q_loop_b_x4,ns_per_iter,2.118,2.118
Q_loop_b_x4,cycles:u,51327213,12.8318,100.00%
Q_loop_b_x4,instructions:u,71558869,17.8897,100.00%
Q_loop_b_x4,pm_cmplu_stall:u,8576624,2.1442,100.00%
Q_loop_b_x4,pm_cmplu_stall_exec_unit:u,752017,0.1880,100.00%
Q_loop_b_x4,pm_flush_mpred:u,136339,0.0341,100.00%
Q_loop_b_x4,pm_cmplu_stall_st_fwd:u,1220,0.0003,100.00%
Q_loop_b_x4,pm_cmplu_stall_lhs:u,20,0.0000,100.00%
Q_loop_b_x4,pm_br_mpred_cmpl:u,135140,0.0338,100.00%
Q_loop_b_x4,pm_br_pred_ccache:u,908,0.0002,100.00%
Q_loop_b_x4,pm_br_mpred_ccache:u,196,0.0000,100.00%
Q_loop_b_x4,pm_br_pred_lstack:u,1465,0.0004,100.00%
Q_loop_b_x4,pm_br_mpred_lstack:u,236,0.0001,100.00%
Q_loop_b_x4,pm_cmplu_stall_bru:u,907,0.0002,100.00%
Q_loop_b_x4,pm_cmplu_stall_lsu:u,7648366,1.9121,100.00%
Q_loop_b_x4,pm_st_fwd:u,0,0.0000,24.00%
Q_loop_b_x4,pm_flush_lsu:u,78,0.0000,50.00%
Q_loop_b_x4,pm_lsu_flush_lhl_shl:u,5,0.0000,77.00%
Q_loop_b_x4,pm_cmplu_stall_fxu:u,583559,0.1459,75.00%
Q_loop_bctr_x4,ns_per_iter,3.178,3.178
Q_loop_bctr_x4,cycles:u,67363082,16.8408,100.00%
Q_loop_bctr_x4,instructions:u,83571176,20.8928,100.00%
Q_loop_bctr_x4,pm_cmplu_stall:u,20602357,5.1506,100.00%
Q_loop_bctr_x4,pm_cmplu_stall_exec_unit:u,12765007,3.1913,100.00%
Q_loop_bctr_x4,pm_flush_mpred:u,136273,0.0341,100.00%
Q_loop_bctr_x4,pm_cmplu_stall_st_fwd:u,1186,0.0003,100.00%
Q_loop_bctr_x4,pm_cmplu_stall_lhs:u,12,0.0000,100.00%
Q_loop_bctr_x4,pm_br_mpred_cmpl:u,134757,0.0337,100.00%
Q_loop_bctr_x4,pm_br_pred_ccache:u,12013199,3.0033,100.00%
Q_loop_bctr_x4,pm_br_mpred_ccache:u,224,0.0001,100.00%
Q_loop_bctr_x4,pm_br_pred_lstack:u,1477,0.0004,100.00%
Q_loop_bctr_x4,pm_br_mpred_lstack:u,225,0.0001,100.00%
Q_loop_bctr_x4,pm_cmplu_stall_bru:u,898,0.0002,100.00%
Q_loop_bctr_x4,pm_cmplu_stall_lsu:u,7651863,1.9130,100.00%
Q_loop_bctr_x4,pm_st_fwd:u,148,0.0000,24.00%
Q_loop_bctr_x4,pm_flush_lsu:u,32,0.0000,49.00%
Q_loop_bctr_x4,pm_lsu_flush_lhl_shl:u,5,0.0000,74.00%
Q_loop_bctr_x4,pm_cmplu_stall_fxu:u,12277480,3.0694,75.00%
B_none,ns_per_iter,0.592,0.592
B_none,cycles:u,28195739,7.0489,100.00%
B_none,instructions:u,47534260,11.8836,100.00%
B_none,pm_cmplu_stall:u,8550097,2.1375,100.00%
B_none,pm_cmplu_stall_exec_unit:u,752022,0.1880,100.00%
B_none,pm_flush_mpred:u,136240,0.0341,100.00%
B_none,pm_cmplu_stall_st_fwd:u,1160,0.0003,100.00%
B_none,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
B_none,pm_br_mpred_cmpl:u,134022,0.0335,100.00%
B_none,pm_br_pred_ccache:u,908,0.0002,100.00%
B_none,pm_br_mpred_ccache:u,192,0.0000,100.00%
B_none,pm_br_pred_lstack:u,1479,0.0004,100.00%
B_none,pm_br_mpred_lstack:u,251,0.0001,100.00%
B_none,pm_cmplu_stall_bru:u,807,0.0002,100.00%
B_none,pm_cmplu_stall_lsu:u,7643858,1.9110,100.00%
B_none,pm_st_fwd:u,0,0.0000,27.00%
B_none,pm_flush_lsu:u,37,0.0000,55.00%
B_none,pm_lsu_flush_lhl_shl:u,5,0.0000,78.00%
B_none,pm_cmplu_stall_fxu:u,605858,0.1515,72.00%
A_indep8,ns_per_iter,0.726,0.726
A_indep8,cycles:u,30229144,7.5573,100.00%
A_indep8,instructions:u,75562986,18.8907,100.00%
A_indep8,pm_cmplu_stall:u,8569021,2.1423,100.00%
A_indep8,pm_cmplu_stall_exec_unit:u,751510,0.1879,100.00%
A_indep8,pm_flush_mpred:u,136464,0.0341,100.00%
A_indep8,pm_cmplu_stall_st_fwd:u,1199,0.0003,100.00%
A_indep8,pm_cmplu_stall_lhs:u,27,0.0000,100.00%
A_indep8,pm_br_mpred_cmpl:u,134962,0.0337,100.00%
A_indep8,pm_br_pred_ccache:u,908,0.0002,100.00%
A_indep8,pm_br_mpred_ccache:u,192,0.0000,100.00%
A_indep8,pm_br_pred_lstack:u,1460,0.0004,100.00%
A_indep8,pm_br_mpred_lstack:u,225,0.0001,100.00%
A_indep8,pm_cmplu_stall_bru:u,912,0.0002,100.00%
A_indep8,pm_cmplu_stall_lsu:u,7649375,1.9123,100.00%
A_indep8,pm_st_fwd:u,0,0.0000,23.00%
A_indep8,pm_flush_lsu:u,38,0.0000,57.00%
A_indep8,pm_lsu_flush_lhl_shl:u,6,0.0000,79.00%
A_indep8,pm_cmplu_stall_fxu:u,571484,0.1429,76.00%
# host=omarchy-power9 cpu=136 iters=4000000 date=2026-09-16T21:13:31-06:00 load=7.44 7.38 6.67 freq=2450000
Q_loop_bback,ns_per_iter,0.598,0.598
Q_loop_bback,cycles:u,28445954,7.1115,100.00%
Q_loop_bback,instructions:u,51538457,12.8846,100.00%
Q_loop_bback,pm_cmplu_stall:u,8590554,2.1476,100.00%
Q_loop_bback,pm_cmplu_stall_exec_unit:u,752041,0.1880,100.00%
Q_loop_bback,pm_flush_mpred:u,136030,0.0340,100.00%
Q_loop_bback,pm_cmplu_stall_st_fwd:u,1261,0.0003,100.00%
Q_loop_bback,pm_cmplu_stall_lhs:u,16,0.0000,100.00%
Q_loop_bback,pm_br_mpred_cmpl:u,134158,0.0335,100.00%
Q_loop_bback,pm_br_pred_ccache:u,908,0.0002,100.00%
Q_loop_bback,pm_br_mpred_ccache:u,187,0.0000,100.00%
Q_loop_bback,pm_br_pred_lstack:u,1474,0.0004,100.00%
Q_loop_bback,pm_br_mpred_lstack:u,244,0.0001,100.00%
Q_loop_bback,pm_cmplu_stall_bru:u,3008,0.0008,100.00%
Q_loop_bback,pm_cmplu_stall_lsu:u,7760192,1.9400,100.00%
Q_loop_bback,pm_st_fwd:u,0,0.0000,22.00%
Q_loop_bback,pm_flush_lsu:u,18,0.0000,54.00%
Q_loop_bback,pm_lsu_flush_lhl_shl:u,8,0.0000,78.00%
Q_loop_bback,pm_cmplu_stall_fxu:u,566826,0.1417,77.00%
Q_fwd_far_x4,ns_per_iter,2.118,2.118
Q_fwd_far_x4,cycles:u,51621480,12.9054,100.00%
Q_fwd_far_x4,instructions:u,71558954,17.8897,100.00%
Q_fwd_far_x4,pm_cmplu_stall:u,8681666,2.1704,100.00%
Q_fwd_far_x4,pm_cmplu_stall_exec_unit:u,845447,0.2114,100.00%
Q_fwd_far_x4,pm_flush_mpred:u,136247,0.0341,100.00%
Q_fwd_far_x4,pm_cmplu_stall_st_fwd:u,1288,0.0003,100.00%
Q_fwd_far_x4,pm_cmplu_stall_lhs:u,26,0.0000,100.00%
Q_fwd_far_x4,pm_br_mpred_cmpl:u,134849,0.0337,100.00%
Q_fwd_far_x4,pm_br_pred_ccache:u,908,0.0002,100.00%
Q_fwd_far_x4,pm_br_mpred_ccache:u,196,0.0000,100.00%
Q_fwd_far_x4,pm_br_pred_lstack:u,1468,0.0004,100.00%
Q_fwd_far_x4,pm_br_mpred_lstack:u,224,0.0001,100.00%
Q_fwd_far_x4,pm_cmplu_stall_bru:u,952,0.0002,100.00%
Q_fwd_far_x4,pm_cmplu_stall_lsu:u,7705533,1.9264,100.00%
Q_fwd_far_x4,pm_st_fwd:u,12,0.0000,24.00%
Q_fwd_far_x4,pm_flush_lsu:u,83,0.0000,50.00%
Q_fwd_far_x4,pm_lsu_flush_lhl_shl:u,14,0.0000,76.00%
Q_fwd_far_x4,pm_cmplu_stall_fxu:u,582090,0.1455,75.00%
