kernel,ns_per_iter,cycles_per_iter,insns_per_iter,flush_per_iter,mtfpscr_per_iter,brmpred_per_iter,iters
add_xs,6.396,24.06,5.00,0.0002,0.000,0.0000,5000000
add_xs_t,6.434,24.19,16.98,0.0002,0.000,0.0000,5000000
add_xv,6.783,25.62,5.00,0.0002,0.000,0.0000,5000000
add_xv_t,6.458,24.39,17.01,0.0002,0.000,0.0000,5000000
add_xv_jitzero,13.819,51.91,16.99,0.0002,0.000,0.0000,5000000
add_xv_jitzero_t,14.314,53.88,64.97,0.0002,0.000,0.0000,5000000
add_xv_permzero,10.630,39.93,9.00,0.0002,0.000,0.0000,5000000
add_xv_permzero_t,10.958,41.21,32.97,0.0002,0.000,0.0000,5000000
add_pre,7.005,26.28,12.98,0.0002,0.000,0.0000,5000000
add_pre_t,7.486,28.11,48.95,0.0002,0.000,0.0000,5000000
add_post,7.059,26.51,12.99,0.0002,0.000,0.0000,5000000
add_post_t,7.828,29.41,48.93,0.0002,0.000,0.0000,5000000
add_bffix,19.454,73.20,44.98,0.0002,0.000,0.0001,5000000
add_bffix_t,30.423,114.37,176.88,0.0003,0.000,0.0000,5000000
add32_xv,6.764,25.51,4.99,0.0002,0.000,0.0000,5000000
add32_pre,7.071,26.55,28.96,0.0002,0.000,0.0000,5000000
add32_pre_t,14.066,52.95,112.91,0.0002,0.000,0.0000,5000000
add32_post,7.045,26.48,20.97,0.0002,0.000,0.0000,5000000
add32_cr6,6.758,25.64,12.98,0.0002,0.000,0.0000,5000000
div_xs,29.750,111.91,5.01,0.0002,0.000,0.0000,5000000
div_xs_t,46.175,173.72,17.00,0.0003,0.000,0.0001,5000000
div_xv,30.819,115.94,5.01,0.0003,0.000,0.0000,5000000
div_xv_t,51.006,191.90,17.00,0.0003,0.000,0.0000,5000000
div_xv_perm,37.740,141.94,13.00,0.0003,0.000,0.0000,5000000
div32_xv,27.630,103.91,5.00,0.0002,0.000,0.0000,5000000
div32_xv_t,44.626,167.98,17.00,0.0003,0.000,0.0000,5000000
div32_xs,24.437,91.91,5.01,0.0003,0.000,0.0000,5000000
div32_xs_t,36.728,138.28,17.00,0.0003,0.000,0.0000,5000000
sqrt_xs,45.697,171.92,9.00,0.0003,0.000,0.0000,5000000
sqrt_xv,46.678,175.69,9.01,0.0003,0.000,0.0000,5000000
sqrt_xs_t,63.389,238.50,17.00,0.0003,0.000,0.0000,5000000
sqrt_xv_t,70.160,263.92,17.00,0.0003,0.000,0.0001,5000000
sqrt32_xv_t,51.013,191.89,17.00,0.0003,0.000,0.0000,5000000
sqrt32_xs_t,44.258,166.49,17.00,0.0003,0.000,0.0000,5000000
fma_xs,6.365,23.99,5.00,0.0002,0.000,0.0001,5000000
fma_xv,6.774,25.52,5.01,0.0002,0.000,0.0000,5000000
mul_xs,6.377,24.13,4.99,0.0002,0.000,0.0000,5000000
mul_xv,6.766,25.47,5.01,0.0002,0.000,0.0001,5000000
fnmadd_neg_post,6.945,26.11,16.98,0.0002,0.000,0.0001,5000000
fma_copy_post,6.895,26.10,16.94,0.0002,0.000,0.0001,5000000
fma_pre,6.990,26.24,20.97,0.0002,0.000,0.0000,5000000
mul_xs_denorm,12.788,48.10,9.01,0.0002,0.000,0.0001,5000000
mul_xs_normal,12.795,48.19,9.01,0.0002,0.000,0.0001,5000000
add_xs_denorm_t,6.579,24.68,16.98,0.0002,0.000,0.0001,5000000
div_xv_nanlane,30.839,115.89,5.01,0.0003,0.000,0.0000,5000000
div_xv_denlane,30.834,115.90,5.01,0.0003,0.000,0.0000,5000000
mffs,15.152,56.92,5.00,0.0002,32.043,0.0001,5000000
mffs_dep,15.945,59.92,13.00,0.0002,32.056,0.0001,5000000
mtfsf_full,22.594,84.92,5.01,0.0002,64.083,0.0001,5000000
mtfsf_ctrl,22.594,84.97,5.01,0.0003,64.063,0.0000,5000000
mtfsfi_ctrl,19.933,74.91,5.00,0.0003,28.032,0.0000,5000000
mtfsfi_sticky,22.592,84.91,5.01,0.0003,64.081,0.0000,5000000
mtfsb0,6.390,23.97,5.00,0.0002,0.000,0.0001,5000000
mtfsb0_sticky,12.103,45.45,5.00,0.0002,36.002,0.0000,5000000
sandwich_p8,39.340,147.87,24.99,0.0003,96.126,0.0000,5000000
sandwich_p8_t,153.373,576.75,80.98,0.0005,384.175,0.0000,5000000
xsrdpic_only,12.795,48.22,9.01,0.0002,0.000,0.0001,5000000
sandwich_shadow,12.936,48.72,24.99,0.0002,0.000,0.0000,5000000
setrm_jit,38.545,144.91,25.00,0.0003,96.064,0.0000,5000000
add4_t_plain,6.439,24.18,16.98,0.0002,0.000,0.0000,5000000
add4_t_mtfsf,43.397,163.17,21.00,0.0003,0.002,0.0000,5000000
add4_t_mtfsfctl,23.389,87.93,20.99,0.0003,64.076,0.0000,5000000
add4_t_mffs,15.948,60.00,20.99,0.0002,32.047,0.0000,5000000
add4_t_mtfsb0,8.555,32.14,20.98,0.0002,0.000,0.0000,5000000
mffs_after_inexact,15.946,59.95,9.00,0.0002,32.055,0.0001,5000000
cvtzs_jit,31.809,119.55,32.99,0.0003,0.000,0.0000,5000000
cvtzs_isel,33.410,125.63,32.98,0.0003,0.000,0.0000,5000000
cvtzs_mask,33.753,126.91,32.98,0.0003,0.000,0.0000,5000000
cvtzs_raw,31.579,118.70,24.99,0.0003,0.000,0.0000,5000000
cvtzs_noperm,25.015,94.02,28.99,0.0003,0.000,0.0000,5000000
cvtzu_raw,31.563,118.68,24.99,0.0003,0.000,0.0000,5000000
cvtns_p8,61.187,230.12,52.98,0.0003,95.961,0.0000,5000000
cvtns_fctid,33.439,125.86,33.00,0.0003,0.000,0.0000,5000000
cvtns_shadow,41.693,156.76,52.98,0.0003,0.000,0.0001,5000000
cvtas_xsrdpi,41.069,154.43,36.99,0.0003,0.000,0.0001,5000000
scvtf_jit,27.144,102.05,28.99,0.0003,0.000,0.0000,5000000
scvtf_pinzero,27.136,101.91,24.99,0.0002,0.000,0.0001,5000000
scvtf_w_extsw,22.208,83.52,25.00,0.0003,0.000,0.0000,5000000
scvtf_w_mtvsrwa,20.185,75.96,20.98,0.0002,0.000,0.0001,5000000
scvtf_stack,39.123,147.15,29.00,0.0003,0.000,0.0000,5000000
fcvt_ds_jit,19.180,72.07,28.99,0.0002,0.000,0.0000,5000000
fcvt_ds_min,22.317,83.92,17.00,0.0002,0.000,0.0000,5000000
fwd_cvt2fp_direct,54.746,209.85,13.05,2.2641,0.000,0.0000,5000000
fwd_cvt2fp_gpr,24.670,92.89,21.00,0.0002,0.000,0.0000,5000000
fwd_sp2dp,30.777,116.56,9.01,1.1269,0.000,0.0000,5000000
fwd_spn2dp,17.066,64.19,13.01,0.0002,0.000,0.0000,5000000
fwd_dp2sp,20.149,75.92,12.99,0.0002,0.000,0.0001,5000000
fwd_int2fp_perm,25.176,94.70,17.00,0.0003,0.000,0.0000,5000000
fcmp_jit_p8,10.668,40.08,64.95,0.0002,0.000,0.0000,5000000
fcmp_direct,7.314,27.45,24.99,0.0002,0.000,0.0000,5000000
fcmp_direct_noperm,7.159,26.86,16.98,0.0002,0.000,0.0001,5000000
xerlift_only,2.331,8.81,28.88,0.0002,0.000,0.0000,5000000
so_toggle,156.585,588.82,21.00,7.9983,0.000,0.0000,5000000
so_set_only,0.930,3.45,12.86,0.0002,0.000,0.0001,5000000
so_clear_only,1.169,4.35,8.93,0.0002,0.000,0.0000,5000000
fcsel_branch,4.548,17.07,10.49,0.4429,0.000,0.4450,5000000
fcsel_fused,2.353,8.81,7.99,0.0002,0.000,0.0000,5000000
fcsel_mfocrf,2.574,9.63,12.97,0.0002,0.000,0.0000,5000000
fcsel_predictable,2.145,8.05,8.97,0.0002,0.000,0.0000,5000000
add_fpr,6.387,24.04,4.99,0.0002,0.000,0.0000,5000000
add_fpr_t,6.439,24.15,16.97,0.0002,0.000,0.0000,5000000
add_vsxlo,6.366,23.95,5.01,0.0002,0.000,0.0001,5000000
add_vsxlo_t,6.439,24.19,16.96,0.0002,0.000,0.0000,5000000
add_vsxhi,6.377,23.97,4.99,0.0002,0.000,0.0001,5000000
add_vsxhi_t,6.437,24.18,16.97,0.0002,0.000,0.0000,5000000
add_cross_halves,12.765,48.10,9.00,0.0002,0.000,0.0000,5000000
mov_hi_lo_lat,4.249,15.93,8.98,0.0002,0.000,0.0001,5000000
mtvsrd_mfvsrd,6.389,23.98,12.98,0.0002,0.000,0.0001,5000000
std_lfd,18.262,68.68,17.00,0.0002,0.000,0.0000,5000000
stfd_ld,18.261,68.65,16.99,0.0002,0.000,0.0001,5000000
stfs_lwz,18.298,68.66,16.99,0.0003,0.000,0.0000,5000000
mtvsrd_xsadd,11.696,43.96,13.00,0.0002,0.000,0.0000,5000000
mtvsrd_xvadd,13.505,50.82,13.00,0.0002,0.000,0.0000,5000000
xxpermdi_lat,3.188,11.98,5.00,0.0002,0.000,0.0000,5000000
xxsldwi_lat,3.189,11.94,5.00,0.0002,0.000,0.0000,5000000
vsldoi_lat,3.189,12.02,5.00,0.0002,0.000,0.0000,5000000
xxlor_lat,2.125,7.93,4.98,0.0002,0.000,0.0001,5000000
perm_add_perm,14.462,54.35,13.00,0.0002,0.000,0.0000,5000000
