mnemonic,count,avg_ir_ops,avg_vector_ir_ops
stp,329,4.4,0.0
ldr,629,2.2,0.0
ldp,260,4.6,0.0
mov,789,1.5,0.0
cbz,161,7.1,0.0
add,514,1.3,0.0
str,318,2.0,0.0
cbnz,87,7.1,0.0
b.eq,86,7.0,0.0
b.ne,77,7.0,0.0
bl,169,3.0,0.0
tbnz,61,7.0,0.0
b.hi,51,6.9,0.0
svc,15,23.0,0.0
cmp,301,1.1,0.0
adrp,278,1.1,0.0
ldrb,92,3.0,0.0
b.ls,35,7.0,0.0
b,98,2.0,0.0
sub,139,1.4,0.0
tbz,25,7.0,0.0
b.cc,20,7.0,0.0
b.cs,19,7.0,0.0
fmul.d,9,14.3,14.0
and,70,1.8,0.0
eor,34,3.6,0.0
ret,122,1.0,0.0
fadd.d,7,14.3,14.0
b.gt,13,7.0,0.0
fmadd.d,2,45.0,43.0
stlxr,3,26.3,0.0
movk,25,2.9,0.0
b.le,10,7.0,0.0
subs,24,2.9,0.0
strb,26,2.3,0.0
b.lt,8,7.0,0.0
lsl,23,2.3,0.0
lsr,29,1.7,0.0
csel,36,1.4,0.0
mul,12,3.8,0.0
cset,11,3.5,0.0
orr,22,1.6,0.0
ldur,13,2.4,0.0
blr,14,2.1,0.0
stur,12,2.3,0.0
stxr,1,27.0,0.0
ccmp,21,1.2,0.0
udiv,6,4.3,0.0
ucvtf.d,6,4.2,2.2
mrs,24,1.0,0.0
ldrh,8,3.1,0.0
ldaxr,3,7.3,0.0
cmn,17,1.0,0.0
fmov.d,11,1.5,1.0
ldrsb,3,5.0,0.0
fsub.d,1,14.0,14.0
tst,14,1.0,0.0
b.mi,2,7.0,0.0
madd,4,3.2,0.0
br,8,1.4,0.0
ubfiz,5,2.2,0.0
sxtw,10,1.1,0.0
neg,7,1.6,0.0
movz,10,1.0,0.0
ldrsw,3,3.3,0.0
umull,2,5.0,0.0
fcvtzs.x,3,3.0,1.3
ands,5,1.8,0.0
asr,4,2.0,0.0
movi,4,2.0,0.5
csinc,3,2.7,0.0
ldxr,1,8.0,0.0
ldar,6,1.2,0.0
b.ge,1,7.0,0.0
strh,3,2.3,0.0
ubfx,6,1.0,0.0
fcsel.d,3,2.0,1.0
shrn,3,2.0,2.0
fcmp.d,3,1.7,0.0
fmov.x,5,1.0,1.0
cneg,1,5.0,0.0
bic,2,2.5,0.0
fneg.d,2,2.0,2.0
fcvtzu.x,2,2.0,0.0
fcvtzs.d,2,2.0,1.0
scvtf.d,2,2.0,1.0
ext,1,4.0,1.0
dup,4,1.0,1.0
cmeq,4,1.0,1.0
cmhs,2,2.0,2.0
clz,4,1.0,0.0
umaxp,1,4.0,4.0
ldurb,1,4.0,0.0
dc,4,1.0,0.0
csetm,1,4.0,0.0
csinv,1,4.0,0.0
fcvtzs.w,1,3.0,0.0
sturb,1,3.0,0.0
fcvt.s,1,2.0,1.0
fcvt.d,1,2.0,1.0
fcvtzu.d,1,2.0,1.0
ld1,2,1.0,0.0
rbit,2,1.0,0.0
bics,1,2.0,0.0
adds,2,1.0,0.0
umulh,2,1.0,0.0
bfxil,1,2.0,0.0
mvni,1,2.0,0.0
fcvtas.x,1,1.0,0.0
msr,1,1.0,0.0
rev,1,1.0,0.0
stlr,1,1.0,0.0
bit,1,1.0,1.0
paciasp,85,0.0,0.0
autiasp,82,0.0,0.0
bti,61,0.0,0.0
nop,42,0.0,0.0
chkfeat,1,0.0,0.0
dmb,2,0.0,0.0
