mnemonic,count,avg_ir_ops,avg_vector_ir_ops
stp,324,4.4,0.0
ldr,630,2.2,0.0
ldp,257,4.6,0.0
mov,785,1.5,0.0
cbz,161,7.1,0.0
add,509,1.3,0.0
str,329,2.1,0.0
b.eq,89,7.0,0.0
cbnz,87,7.1,0.0
b.ne,74,7.0,0.0
bl,167,3.0,0.0
tbnz,61,7.0,0.0
b.hi,53,6.9,0.0
svc,15,23.0,0.0
cmp,303,1.1,0.0
adrp,278,1.1,0.0
ldrb,92,3.0,0.0
b.ls,35,7.0,0.0
b,102,2.0,0.0
sub,141,1.4,0.0
eor,43,4.2,0.0
tbz,25,7.0,0.0
fmul.s,11,14.5,14.1
b.cs,19,7.0,0.0
b.cc,18,7.0,0.0
and,69,1.8,0.0
ret,121,1.0,0.0
fadd.s,7,14.1,14.0
b.gt,13,7.0,0.0
stlxr,3,26.3,0.0
b.le,11,7.0,0.0
movk,23,2.9,0.0
subs,22,2.9,0.0
strb,26,2.3,0.0
lsr,31,1.9,0.0
b.lt,8,7.0,0.0
csel,36,1.5,0.0
lsl,23,2.3,0.0
fmadd.s,1,47.0,44.0
fadd.d,3,15.0,14.0
ucvtf.d,8,5.2,3.0
cset,11,3.5,0.0
mul,10,3.7,0.0
orr,22,1.6,0.0
ldur,14,2.4,0.0
stur,14,2.3,0.0
blr,14,2.1,0.0
stxr,1,27.0,0.0
ccmp,21,1.2,0.0
udiv,6,4.3,0.0
mrs,24,1.0,0.0
ldrh,8,3.1,0.0
ldaxr,3,7.3,0.0
cmn,17,1.0,0.0
fcvt.s,8,2.0,1.0
fcsel.s,6,2.7,1.0
ldrsb,3,5.0,0.0
fsub.s,1,14.0,14.0
fcvt.d,7,2.0,1.0
tst,14,1.0,0.0
b.mi,2,7.0,0.0
madd,4,3.2,0.0
fccmp.s,2,6.5,0.0
fmov.s,7,1.7,1.0
fmov.x,8,1.5,1.0
br,8,1.4,0.0
ubfiz,5,2.2,0.0
sxtw,10,1.1,0.0
neg,7,1.6,0.0
movi,5,2.0,0.6
movz,10,1.0,0.0
ldrsw,3,3.3,0.0
umull,2,5.0,0.0
fcmp.s,7,1.3,0.0
ands,5,1.8,0.0
asr,4,2.0,0.0
csinc,3,2.7,0.0
ldxr,1,8.0,0.0
ldar,6,1.2,0.0
b.ge,1,7.0,0.0
strh,3,2.3,0.0
ubfx,6,1.0,0.0
fneg.s,2,3.0,2.0
fcvtzs.w,2,3.0,0.0
shrn,3,2.0,2.0
cneg,1,5.0,0.0
bic,2,2.5,0.0
fcvtzs.s,2,2.0,1.0
scvtf.s,2,2.0,1.0
ext,1,4.0,1.0
dup,4,1.0,1.0
cmeq,4,1.0,1.0
cmhs,2,2.0,2.0
clz,4,1.0,0.0
umaxp,1,4.0,4.0
ldurb,1,4.0,0.0
dc,4,1.0,0.0
csetm,1,4.0,0.0
csinv,1,4.0,0.0
sturb,1,3.0,0.0
fsqrt.s,1,2.0,2.0
ld1,2,1.0,0.0
rbit,2,1.0,0.0
bics,1,2.0,0.0
adds,2,1.0,0.0
umulh,2,1.0,0.0
bfxil,1,2.0,0.0
mvni,1,2.0,0.0
msr,1,1.0,0.0
rev,1,1.0,0.0
stlr,1,1.0,0.0
bit,1,1.0,1.0
paciasp,85,0.0,0.0
autiasp,82,0.0,0.0
bti,60,0.0,0.0
nop,33,0.0,0.0
chkfeat,1,0.0,0.0
dmb,2,0.0,0.0
