mnemonic,count,avg_ir_ops,avg_vector_ir_ops
ldr,666,2.3,0.0
stp,326,4.4,0.0
ldp,268,4.6,0.0
mov,813,1.5,0.0
cbz,163,7.1,0.0
add,558,1.4,0.0
str,331,2.1,0.0
b.eq,93,7.0,0.0
cbnz,87,7.1,0.0
b.ne,88,6.9,0.0
bl,167,3.0,0.0
fmadd.d,11,45.4,43.0
fmsub.d,10,46.4,44.0
tbnz,61,7.0,0.0
b.hi,54,6.9,0.0
cmp,319,1.2,0.0
svc,15,23.0,0.0
adrp,280,1.1,0.0
ldrb,92,3.0,0.0
eor,60,4.2,0.0
b.ls,35,7.0,0.0
sub,151,1.5,0.0
b,107,2.0,0.0
tbz,25,7.0,0.0
b.cc,24,7.0,0.0
b.cs,19,7.0,0.0
and,72,1.8,0.0
ret,121,1.0,0.0
fadd.d,7,14.6,14.0
b.gt,13,7.0,0.0
mul,20,4.3,0.0
stlxr,3,26.3,0.0
subs,27,2.9,0.0
b.le,10,7.0,0.0
csel,44,1.5,0.0
movk,22,2.8,0.0
strb,26,2.3,0.0
lsr,30,1.8,0.0
lsl,24,2.2,0.0
b.lt,7,7.0,0.0
ucvtf.d,7,5.6,3.0
cset,11,3.5,0.0
orr,22,1.6,0.0
madd,9,3.8,0.0
ldur,14,2.4,0.0
stur,13,2.3,0.0
fdiv.d,2,15.0,14.0
blr,14,2.1,0.0
stxr,1,27.0,0.0
ccmp,21,1.2,0.0
udiv,6,4.3,0.0
mrs,24,1.0,0.0
ldrh,8,3.1,0.0
fabs.d,11,2.0,2.0
ldaxr,3,7.3,0.0
fcsel.d,10,2.0,1.0
tst,16,1.1,0.0
cmn,17,1.0,0.0
fmul.d,1,15.0,14.0
fnmul.d,1,15.0,15.0
ldrsb,3,5.0,0.0
sxtw,11,1.3,0.0
csinc,5,2.8,0.0
b.ge,2,7.0,0.0
b.mi,2,7.0,0.0
br,8,1.4,0.0
ubfiz,5,2.2,0.0
neg,7,1.6,0.0
fcmp.d,10,1.0,0.0
movz,10,1.0,0.0
ldrsw,3,3.3,0.0
umull,2,5.0,0.0
ands,5,1.8,0.0
asr,4,2.0,0.0
adds,4,2.0,0.0
ldxr,1,8.0,0.0
ldar,6,1.2,0.0
strh,3,2.3,0.0
ubfx,6,1.0,0.0
fmov.d,3,2.0,1.0
shrn,3,2.0,2.0
movi,3,2.0,0.3
cneg,1,5.0,0.0
bic,2,2.5,0.0
ext,1,4.0,1.0
dup,4,1.0,1.0
cmeq,4,1.0,1.0
cmhs,2,2.0,2.0
fmov.x,4,1.0,1.0
clz,4,1.0,0.0
umaxp,1,4.0,4.0
ldurb,1,4.0,0.0
dc,4,1.0,0.0
csetm,1,4.0,0.0
csinv,1,4.0,0.0
sturb,1,3.0,0.0
ld1,2,1.0,0.0
rbit,2,1.0,0.0
bics,1,2.0,0.0
umulh,2,1.0,0.0
bfxil,1,2.0,0.0
mvni,1,2.0,0.0
msr,1,1.0,0.0
rev,1,1.0,0.0
stlr,1,1.0,0.0
bit,1,1.0,1.0
paciasp,85,0.0,0.0
autiasp,82,0.0,0.0
bti,60,0.0,0.0
nop,38,0.0,0.0
chkfeat,1,0.0,0.0
dmb,2,0.0,0.0
