mnemonic,count,avg_ir_ops,avg_vector_ir_ops
fmadd.d,45,46.6,43.2
stp,341,4.4,0.0
ldr,654,2.2,0.0
ldp,291,4.6,0.0
mov,797,1.5,0.0
cbz,161,7.1,0.0
add,520,1.3,0.0
str,332,2.0,0.0
b.eq,91,7.0,0.0
cbnz,87,7.1,0.0
b.ne,78,6.9,0.0
bl,168,3.0,0.0
tbnz,61,7.0,0.0
b.hi,55,6.9,0.0
fmul.d,22,15.8,14.3
cmp,304,1.1,0.0
svc,15,23.0,0.0
fsub.d,22,15.3,14.0
adrp,286,1.1,0.0
ldrb,92,3.0,0.0
b.ls,36,7.0,0.0
b,106,2.0,0.0
sub,143,1.4,0.0
tbz,25,7.0,0.0
b.cs,19,7.0,0.0
b.cc,18,7.0,0.0
and,71,1.8,0.0
ret,122,1.0,0.0
eor,32,3.5,0.0
fnmul.d,6,16.0,15.0
movk,28,3.4,0.0
b.gt,13,7.0,0.0
fdiv.d,6,14.7,14.0
subs,30,2.9,0.0
stlxr,3,26.3,0.0
b.le,10,7.0,0.0
strb,26,2.3,0.0
mul,17,3.4,0.0
b.lt,8,7.0,0.0
lsl,23,2.3,0.0
csel,36,1.4,0.0
ldur,17,2.6,0.0
cset,11,3.5,0.0
stur,14,2.6,0.0
orr,22,1.6,0.0
lsr,23,1.5,0.0
fmov.x,16,1.9,1.0
blr,14,2.1,0.0
stxr,1,27.0,0.0
madd,7,3.7,0.0
ccmp,21,1.2,0.0
udiv,6,4.3,0.0
mrs,24,1.0,0.0
ldrh,8,3.1,0.0
ldaxr,3,7.3,0.0
movi,8,2.1,0.8
cmn,17,1.0,0.0
ldrsb,3,5.0,0.0
fsqrt.d,6,2.3,2.0
tst,14,1.0,0.0
b.mi,2,7.0,0.0
br,8,1.4,0.0
ubfiz,5,2.2,0.0
sxtw,10,1.1,0.0
neg,7,1.6,0.0
movz,10,1.0,0.0
ldrsw,3,3.3,0.0
umull,2,5.0,0.0
ands,5,1.8,0.0
asr,4,2.0,0.0
csinc,3,2.7,0.0
ldxr,1,8.0,0.0
ldar,6,1.2,0.0
b.ge,1,7.0,0.0
strh,3,2.3,0.0
ubfx,6,1.0,0.0
fmov.d,4,1.5,1.0
shrn,3,2.0,2.0
cneg,1,5.0,0.0
bic,2,2.5,0.0
ext,1,4.0,1.0
dup,4,1.0,1.0
cmeq,4,1.0,1.0
cmhs,2,2.0,2.0
clz,4,1.0,0.0
umaxp,1,4.0,4.0
ldurb,1,4.0,0.0
dc,4,1.0,0.0
csetm,1,4.0,0.0
csinv,1,4.0,0.0
sturb,1,3.0,0.0
ld1,2,1.0,0.0
rbit,2,1.0,0.0
bics,1,2.0,0.0
adds,2,1.0,0.0
umulh,2,1.0,0.0
bfxil,1,2.0,0.0
mvni,1,2.0,0.0
msr,1,1.0,0.0
rev,1,1.0,0.0
stlr,1,1.0,0.0
bit,1,1.0,1.0
paciasp,85,0.0,0.0
autiasp,82,0.0,0.0
bti,60,0.0,0.0
nop,28,0.0,0.0
chkfeat,1,0.0,0.0
dmb,2,0.0,0.0
